input,output,prompt,task,split
(1-amino-1-oxopropan-2-yl) 3-[(4-acetylphenyl)sulfonylamino]propanoate,CC(=O)C1=CC=C(S(=O)(=O)NCCC(=O)OC(C)C(N)=O)C=C1,"For the given chemical name (1-amino-1-oxopropan-2-yl) 3-[(4-acetylphenyl)sulfonylamino]propanoate, generate the SMILES notation.",iupac_2_smiles,train
(2S)-N-cyclopropyl-2-phenyl-2-[4-(1H-pyrazol-4-yl)piperidin-1-yl]acetamide,O=C(NC1CC1)C(C1=CC=CC=C1)N1CCC(C2=CNN=C2)CC1,"Using the given IUPAC name (2S)-N-cyclopropyl-2-phenyl-2-[4-(1H-pyrazol-4-yl)piperidin-1-yl]acetamide, predict the correct SMILES representation.",iupac_2_smiles,train
"3-[7-(2-methylpropyl)-2,7-diazaspiro[3.5]nonan-2-yl]propanoic acid",CC(C)CN1CCC2(CC1)CN(CCC(=O)O)C2,"What is the SMILES representation for the molecule named 3-[7-(2-methylpropyl)-2,7-diazaspiro[3.5]nonan-2-yl]propanoic acid?",iupac_2_smiles,train
1-pyrrolidin-1-yl-2-quinolin-3-yloxypropan-1-one,CC(OC1=CN=C2C=CC=CC2=C1)C(=O)N1CCCC1,"For the given chemical name 1-pyrrolidin-1-yl-2-quinolin-3-yloxypropan-1-one, generate the SMILES notation.",iupac_2_smiles,train
"2-hydroxy-5-[[2-[(5-methyl-1,2-oxazol-3-yl)oxy]acetyl]amino]benzoic acid",CC1=CC(OCC(=O)NC2=CC=C(O)C(C(=O)O)=C2)=NO1,"For the given chemical name 2-hydroxy-5-[[2-[(5-methyl-1,2-oxazol-3-yl)oxy]acetyl]amino]benzoic acid, generate the SMILES notation.",iupac_2_smiles,train
"4-[4-[(2,6-dichlorophenyl)methoxy]phenyl]butan-2-ol",CC(O)CCC1=CC=C(OCC2=C(Cl)C=CC=C2Cl)C=C1,"Translate the following IUPAC name 4-[4-[(2,6-dichlorophenyl)methoxy]phenyl]butan-2-ol into its SMILES equivalent.",iupac_2_smiles,train
"N-[(Z)-[(1R,5S)-6-bicyclo[3.2.0]hept-2-enylidene]amino]-2-(4-methoxyphenoxy)acetamide",COC1=CC=C(OCC(=O)NN=C2CC3C=CCC23)C=C1,"Using the input N-[(Z)-[(1R,5S)-6-bicyclo[3.2.0]hept-2-enylidene]amino]-2-(4-methoxyphenoxy)acetamide, determine the corresponding SMILES structure.",iupac_2_smiles,train
[4-[[[2-[6-(4-acetylpiperazin-1-yl)pyridin-3-yl]quinoline-4-carbonyl]amino]methyl]cyclohexyl]methylcarbamic acid,CC(=O)N1CCN(C2=CC=C(C3=CC(C(=O)NCC4CCC(CNC(=O)O)CC4)=C4C=CC=CC4=N3)C=N2)CC1,Convert the IUPAC name [4-[[[2-[6-(4-acetylpiperazin-1-yl)pyridin-3-yl]quinoline-4-carbonyl]amino]methyl]cyclohexyl]methylcarbamic acid to its corresponding SMILES notation.,iupac_2_smiles,train
1-[furan-2-ylmethyl-[(2-methoxyphenyl)methyl]amino]-3-(4-methoxyphenoxy)propan-2-ol,COC1=CC=C(OCC(O)CN(CC2=CC=CO2)CC2=CC=CC=C2OC)C=C1,Convert the IUPAC name 1-[furan-2-ylmethyl-[(2-methoxyphenyl)methyl]amino]-3-(4-methoxyphenoxy)propan-2-ol to its corresponding SMILES notation.,iupac_2_smiles,train
"2-[6-(4-chloro-3-fluorophenyl)-3,3-dimethyl-2-oxopiperidin-1-yl]-N-(2'-oxospiro[1,3-dihydroindene-2,3'-1H-pyrrolo[2,3-b]pyridine]-5-yl)acetamide",CC1(C)CCC(C2=CC=C(Cl)C(F)=C2)N(CC(=O)NC2=CC=C3CC4(CC3=C2)C(=O)NC2=NC=CC=C24)C1=O,"Using the given IUPAC name 2-[6-(4-chloro-3-fluorophenyl)-3,3-dimethyl-2-oxopiperidin-1-yl]-N-(2'-oxospiro[1,3-dihydroindene-2,3'-1H-pyrrolo[2,3-b]pyridine]-5-yl)acetamide, predict the correct SMILES representation.",iupac_2_smiles,train
N-[1-(4-tert-butylphenyl)ethyl]-2-chloropropanamide,CC(Cl)C(=O)NC(C)C1=CC=C(C(C)(C)C)C=C1,Convert the IUPAC name N-[1-(4-tert-butylphenyl)ethyl]-2-chloropropanamide to its corresponding SMILES notation.,iupac_2_smiles,train
"2,3,4-trifluoro-N-[2-[(3,4,5-trihydroxybenzoyl)amino]ethyl]benzamide",O=C(NCCNC(=O)C1=CC=C(F)C(F)=C1F)C1=CC(O)=C(O)C(O)=C1,"For the given chemical name 2,3,4-trifluoro-N-[2-[(3,4,5-trihydroxybenzoyl)amino]ethyl]benzamide, generate the SMILES notation.",iupac_2_smiles,train
N-[3-[1-[3-(methylamino)propyl]imidazol-2-yl]phenyl]acetamide,CNCCCN1C=CN=C1C1=CC=CC(NC(C)=O)=C1,How would you convert the IUPAC name N-[3-[1-[3-(methylamino)propyl]imidazol-2-yl]phenyl]acetamide to SMILES?,iupac_2_smiles,train
3-bromo-N-cyclopentyl-4-(2-phenoxyethoxy)benzamide,O=C(NC1CCCC1)C1=CC=C(OCCOC2=CC=CC=C2)C(Br)=C1,What is the SMILES representation for the molecule named 3-bromo-N-cyclopentyl-4-(2-phenoxyethoxy)benzamide?,iupac_2_smiles,train
"(3-phenyl-1-oxa-2,8-diazaspiro[4.5]dec-2-en-8-yl) N-(3-fluorophenyl)carbamate",O=C(NC1=CC=CC(F)=C1)ON1CCC2(CC1)CC(C1=CC=CC=C1)=NO2,"Using the input (3-phenyl-1-oxa-2,8-diazaspiro[4.5]dec-2-en-8-yl) N-(3-fluorophenyl)carbamate, determine the corresponding SMILES structure.",iupac_2_smiles,train
"cyclohexyl 2-[(5-pyridin-3-yl-1H-1,2,4-triazol-3-yl)sulfanyl]acetate",O=C(CSC1=NNC(C2=CC=CN=C2)=N1)OC1CCCCC1,"Given the IUPAC name cyclohexyl 2-[(5-pyridin-3-yl-1H-1,2,4-triazol-3-yl)sulfanyl]acetate, provide the corresponding SMILES notation.",iupac_2_smiles,train
"(3S)-3-butyl-6-methoxy-1-(1-methylpyrazol-3-yl)-3,4-dihydroisoquinoline",CCCCC1CC2=CC(OC)=CC=C2C(C2=NN(C)C=C2)=N1,"Using the input (3S)-3-butyl-6-methoxy-1-(1-methylpyrazol-3-yl)-3,4-dihydroisoquinoline, determine the corresponding SMILES structure.",iupac_2_smiles,train
"(5E)-5-[(3-bromo-4-methoxyphenyl)methylidene]-1-(4-fluorophenyl)-1,3-diazinane-2,4,6-trione",COC1=CC=C(C=C2C(=O)NC(=O)N(C3=CC=C(F)C=C3)C2=O)C=C1Br,"How would you convert the IUPAC name (5E)-5-[(3-bromo-4-methoxyphenyl)methylidene]-1-(4-fluorophenyl)-1,3-diazinane-2,4,6-trione to SMILES?",iupac_2_smiles,train
"3-(hydroxymethyl)-4-[2-(1-methylpyrazol-3-yl)ethyl]-1H-1,2,4-triazole-5-thione",CN1C=CC(CCN2C(CO)=NNC2=S)=N1,"Translate the following IUPAC name 3-(hydroxymethyl)-4-[2-(1-methylpyrazol-3-yl)ethyl]-1H-1,2,4-triazole-5-thione into its SMILES equivalent.",iupac_2_smiles,train
"15-fluoro-1,4,8,11-tetraza-15lambda5-phosphatetracyclo[6.6.1.04,15.011,15]pentadecane",FP123N4CCCN1CCN2CCCN3CC4,"Using the input 15-fluoro-1,4,8,11-tetraza-15lambda5-phosphatetracyclo[6.6.1.04,15.011,15]pentadecane, determine the corresponding SMILES structure.",iupac_2_smiles,train
"tert-butyl (3S,4R)-3-(aminomethyl)-4-[[(2-methylpropan-2-yl)oxycarbonylamino]methyl]pyrrolidine-1-carboxylate",CC(C)(C)OC(=O)NCC1CN(C(=O)OC(C)(C)C)CC1CN,"Using the given IUPAC name tert-butyl (3S,4R)-3-(aminomethyl)-4-[[(2-methylpropan-2-yl)oxycarbonylamino]methyl]pyrrolidine-1-carboxylate, predict the correct SMILES representation.",iupac_2_smiles,train
1-(2-chlorophenyl)-4-[(4-fluorophenyl)methylsulfonyl]piperazine,O=S(=O)(CC1=CC=C(F)C=C1)N1CCN(C2=CC=CC=C2Cl)CC1,"Using the input 1-(2-chlorophenyl)-4-[(4-fluorophenyl)methylsulfonyl]piperazine, determine the corresponding SMILES structure.",iupac_2_smiles,valid
N-(3-methoxy-4-methylphenyl)ethanethioamide,COC1=CC(NC(C)=S)=CC=C1C,"For the given chemical name N-(3-methoxy-4-methylphenyl)ethanethioamide, generate the SMILES notation.",iupac_2_smiles,valid
(3S)-5-oxo-1-[3-(propanoylamino)phenyl]pyrrolidine-3-carboxylic acid,CCC(=O)NC1=CC=CC(N2CC(C(=O)O)CC2=O)=C1,Convert the IUPAC name (3S)-5-oxo-1-[3-(propanoylamino)phenyl]pyrrolidine-3-carboxylic acid to its corresponding SMILES notation.,iupac_2_smiles,valid
"2-fluoro-1-N-methyl-1-N-(2-methyloxolan-3-yl)benzene-1,4-diamine",CC1OCCC1N(C)C1=CC=C(N)C=C1F,"For the given chemical name 2-fluoro-1-N-methyl-1-N-(2-methyloxolan-3-yl)benzene-1,4-diamine, generate the SMILES notation.",iupac_2_smiles,valid
"2-[bis(2-chloroethyl)amino]-3-methyl-2-oxo-1,3,2lambda5-oxazaphosphinan-4-ol",CN1C(O)CCOP1(=O)N(CCCl)CCCl,"Using the input 2-[bis(2-chloroethyl)amino]-3-methyl-2-oxo-1,3,2lambda5-oxazaphosphinan-4-ol, determine the corresponding SMILES structure.",iupac_2_smiles,valid
"6-furo[3,2-b]pyridin-2-yl-6-[(6-methyl-4-oxo-1H-naphthalen-2-yl)methyl]azepan-2-one",CC1=CC=C2CC(CC3(C4=CC5=NC=CC=C5O4)CCCC(=O)NC3)=CC(=O)C2=C1,"Using the input 6-furo[3,2-b]pyridin-2-yl-6-[(6-methyl-4-oxo-1H-naphthalen-2-yl)methyl]azepan-2-one, determine the corresponding SMILES structure.",iupac_2_smiles,valid
"(4aS,5S)-2-ethyl-7-iodo-5-methyl-8a-phenyl-3,4,4a,5-tetrahydroisoquinoline-1,6-dione",CCN1CCC2C(C)C(=O)C(I)=CC2(C2=CC=CC=C2)C1=O,"How would you convert the IUPAC name (4aS,5S)-2-ethyl-7-iodo-5-methyl-8a-phenyl-3,4,4a,5-tetrahydroisoquinoline-1,6-dione to SMILES?",iupac_2_smiles,valid
"N-[2-(cyclohexen-1-yl)ethyl]-1,7,7-trimethyl-9-oxo-8H-furo[3,2-f]chromene-2-carboxamide",CC1=C(C(=O)NCCC2=CCCCC2)OC2=CC=C3OC(C)(C)CC(=O)C3=C12,"Convert the IUPAC name N-[2-(cyclohexen-1-yl)ethyl]-1,7,7-trimethyl-9-oxo-8H-furo[3,2-f]chromene-2-carboxamide to its corresponding SMILES notation.",iupac_2_smiles,valid
N-acetyl-N-(7-oxocyclohepten-1-yl)acetamide,CC(=O)N(C(C)=O)C1=CCCCCC1=O,"Given the IUPAC name N-acetyl-N-(7-oxocyclohepten-1-yl)acetamide, provide the corresponding SMILES notation.",iupac_2_smiles,valid
3-(aminomethyl)-4-fluoro-5-(trifluoromethyl)aniline,NCC1=CC(N)=CC(C(F)(F)F)=C1F,Convert the IUPAC name 3-(aminomethyl)-4-fluoro-5-(trifluoromethyl)aniline to its corresponding SMILES notation.,iupac_2_smiles,valid
2-hydroxy-N-(1-phenylethyl)butanediamide,CC(NC(=O)C(O)CC(N)=O)C1=CC=CC=C1,Provide the correct SMILES for the following IUPAC name 2-hydroxy-N-(1-phenylethyl)butanediamide.,iupac_2_smiles,test
1-[4-(4-nitro-3-piperidin-1-ylphenyl)piperazin-1-yl]butan-1-one,CCCC(=O)N1CCN(C2=CC=C([N+](=O)[O-])C(N3CCCCC3)=C2)CC1,"For the given chemical name 1-[4-(4-nitro-3-piperidin-1-ylphenyl)piperazin-1-yl]butan-1-one, generate the SMILES notation.",iupac_2_smiles,test
"(5-bromopyrazolo[4,3-b]pyridin-1-yl)-iodophosphane",BrC1=CC=C2C(=N1)C=NN2PI,"What is the SMILES representation for the molecule named (5-bromopyrazolo[4,3-b]pyridin-1-yl)-iodophosphane?",iupac_2_smiles,test
3-[(4-bromoindol-1-yl)methyl]phenol,OC1=CC=CC(CN2C=CC3=C(Br)C=CC=C32)=C1,"Given the IUPAC name 3-[(4-bromoindol-1-yl)methyl]phenol, provide the corresponding SMILES notation.",iupac_2_smiles,test
2-[1-[(1-phenylpyrazol-4-yl)methyl]pyrrolidin-2-yl]pyrimidine-5-carboxylic acid,O=C(O)C1=CN=C(C2CCCN2CC2=CN(C3=CC=CC=C3)N=C2)N=C1,Predict the SMILES string for the IUPAC name 2-[1-[(1-phenylpyrazol-4-yl)methyl]pyrrolidin-2-yl]pyrimidine-5-carboxylic acid.,iupac_2_smiles,test
"5-fluoro-2-propan-2-yloxy-N-(2,2,6,6-tetramethylpiperidin-4-yl)pyrimidin-4-amine",CC(C)OC1=NC=C(F)C(NC2CC(C)(C)NC(C)(C)C2)=N1,"Predict the SMILES string for the IUPAC name 5-fluoro-2-propan-2-yloxy-N-(2,2,6,6-tetramethylpiperidin-4-yl)pyrimidin-4-amine.",iupac_2_smiles,test
"4-[[3-(1-phenylethylamino)-1,2,4-triazin-5-yl]amino]benzonitrile",CC(NC1=NN=CC(NC2=CC=C(C#N)C=C2)=N1)C1=CC=CC=C1,"Provide the correct SMILES for the following IUPAC name 4-[[3-(1-phenylethylamino)-1,2,4-triazin-5-yl]amino]benzonitrile.",iupac_2_smiles,test
(NE)-N-[2-(4-chlorophenyl)chromen-4-ylidene]hydroxylamine,ON=C1C=C(C2=CC=C(Cl)C=C2)OC2=CC=CC=C12,"Using the input (NE)-N-[2-(4-chlorophenyl)chromen-4-ylidene]hydroxylamine, determine the corresponding SMILES structure.",iupac_2_smiles,test
4-[2-(4-chloroanilino)-1-methylbenzimidazol-5-yl]oxy-N-(2-piperidin-2-ylethyl)pyridine-2-carboxamide,CN1C(NC2=CC=C(Cl)C=C2)=NC2=CC(OC3=CC=NC(C(=O)NCCC4CCCCN4)=C3)=CC=C21,"Using the input 4-[2-(4-chloroanilino)-1-methylbenzimidazol-5-yl]oxy-N-(2-piperidin-2-ylethyl)pyridine-2-carboxamide, determine the corresponding SMILES structure.",iupac_2_smiles,test
(E)-1-phenyl-N-triethylsilylmethanimine,CC[Si](CC)(CC)N=CC1=CC=CC=C1,"Using the input (E)-1-phenyl-N-triethylsilylmethanimine, determine the corresponding SMILES structure.",iupac_2_smiles,test
CC(C)(C)OC(=O)NCC(O)C(=O)NC1=CC=CC(C2=CC=C(OC3=CC=C(F)C=C3)C=C2)=N1,tert-butyl N-[(2S)-3-[[6-[4-(4-fluorophenoxy)phenyl]pyridin-2-yl]amino]-2-hydroxy-3-oxopropyl]carbamate,Provide the correct IUPAC name for the following SMILES CC(C)(C)OC(=O)NCC(O)C(=O)NC1=CC=CC(C2=CC=C(OC3=CC=C(F)C=C3)C=C2)=N1.,smiles_2_iupac,train
O=C1CCC(N2CC3=CC(N4C=C(CN5CCN(C6=CC=CC=C6)CC5)N=N4)=CC=C3C2=O)C(=O)N1,"3-[3-oxo-6-[4-[(4-phenylpiperazin-1-yl)methyl]triazol-1-yl]-1H-isoindol-2-yl]piperidine-2,6-dione","Using the given SMILES O=C1CCC(N2CC3=CC(N4C=C(CN5CCN(C6=CC=CC=C6)CC5)N=N4)=CC=C3C2=O)C(=O)N1, predict the correct IUPAC name.",smiles_2_iupac,train
CCCCNC(=O)C1=CC=CC=C1NC(=O)C1CCN(S(=O)(=O)CC2=CC=CC(Cl)=C2)CC1,N-[2-(butylcarbamoyl)phenyl]-1-[(3-chlorophenyl)methylsulfonyl]piperidine-4-carboxamide,Convert the SMILES CCCCNC(=O)C1=CC=CC=C1NC(=O)C1CCN(S(=O)(=O)CC2=CC=CC(Cl)=C2)CC1 to its IUPAC name.,smiles_2_iupac,train
COC1=CC=C(OCC(O)CN(CC2=CC=CO2)CC2=CC=CC=C2OC)C=C1,1-[furan-2-ylmethyl-[(2-methoxyphenyl)methyl]amino]-3-(4-methoxyphenoxy)propan-2-ol,"Given the SMILES COC1=CC=C(OCC(O)CN(CC2=CC=CO2)CC2=CC=CC=C2OC)C=C1, provide the corresponding IUPAC name.",smiles_2_iupac,train
CCCOC1=CC=C(N)C=C1C(OCC)OCC,3-(diethoxymethyl)-4-propoxyaniline,Convert the SMILES CCCOC1=CC=C(N)C=C1C(OCC)OCC to its IUPAC name.,smiles_2_iupac,train
NCC1=CC(N)=CC(C(F)(F)F)=C1F,3-(aminomethyl)-4-fluoro-5-(trifluoromethyl)aniline,"Using the input NCC1=CC(N)=CC(C(F)(F)F)=C1F, determine the corresponding IUPAC name.",smiles_2_iupac,train
CCOC(=O)C1CCNC1C1CC1,"ethyl (2S,3R)-2-cyclopropylpyrrolidine-3-carboxylate","For the given SMILES CCOC(=O)C1CCNC1C1CC1, generate the correct IUPAC name.",smiles_2_iupac,train
COP(=O)(O)C(C=O)C1=CC=CC=C1,methoxy-(2-oxo-1-phenylethyl)phosphinic acid,Predict the IUPAC name for the SMILES COP(=O)(O)C(C=O)C1=CC=CC=C1.,smiles_2_iupac,train
NC1=CC=C(SCC2=NOC(C3=CC=CS3)=C2)C(F)=C1,"3-fluoro-4-[(5-thiophen-2-yl-1,2-oxazol-3-yl)methylsulfanyl]aniline","For the given SMILES NC1=CC=C(SCC2=NOC(C3=CC=CS3)=C2)C(F)=C1, generate the correct IUPAC name.",smiles_2_iupac,train
CN=C(NCC1=CC=NC(C)=N1)NCC(O)C1=CC=C(Cl)S1,1-[2-(5-chlorothiophen-2-yl)-2-hydroxyethyl]-2-methyl-3-[(2-methylpyrimidin-4-yl)methyl]guanidine,What is the IUPAC name for the molecule represented by CN=C(NCC1=CC=NC(C)=N1)NCC(O)C1=CC=C(Cl)S1?,smiles_2_iupac,train
CC1(C)CC(=O)C2=C(C1)N=C1SC(=CC3=CC=C4C=CN=CC4=C3)C(=O)N1C2C1=CC=C(Cl)C=C1,"5-(4-chlorophenyl)-2-(isoquinolin-7-ylmethylidene)-8,8-dimethyl-7,9-dihydro-5H-[1,3]thiazolo[2,3-b]quinazoline-3,6-dione","Using the given SMILES CC1(C)CC(=O)C2=C(C1)N=C1SC(=CC3=CC=C4C=CN=CC4=C3)C(=O)N1C2C1=CC=C(Cl)C=C1, predict the correct IUPAC name.",smiles_2_iupac,train
N#CCSC1=CC=CC=C1C(=O)N1CC(C(=O)O)C1,1-[2-(cyanomethylsulfanyl)benzoyl]azetidine-3-carboxylic acid,"Using the input N#CCSC1=CC=CC=C1C(=O)N1CC(C(=O)O)C1, determine the corresponding IUPAC name.",smiles_2_iupac,train
CC(NC1=NN=CC(NC2=CC=C(C#N)C=C2)=N1)C1=CC=CC=C1,"4-[[3-(1-phenylethylamino)-1,2,4-triazin-5-yl]amino]benzonitrile",How would you convert the SMILES CC(NC1=NN=CC(NC2=CC=C(C#N)C=C2)=N1)C1=CC=CC=C1 to its IUPAC name?,smiles_2_iupac,train
CC1=C(C(=O)O)C=C(CN2C=NC3=C(SC=C3C)C2=O)O1,"2-methyl-5-[(7-methyl-4-oxothieno[3,2-d]pyrimidin-3-yl)methyl]furan-3-carboxylic acid",Provide the correct IUPAC name for the following SMILES CC1=C(C(=O)O)C=C(CN2C=NC3=C(SC=C3C)C2=O)O1.,smiles_2_iupac,train
CCCCC1=NC2=CC=C(NC(=O)C3=CC=CC=C3SCC(=O)NC(C)C)C=C2N1,N-(2-butyl-3H-benzimidazol-5-yl)-2-[2-oxo-2-(propan-2-ylamino)ethyl]sulfanylbenzamide,Predict the IUPAC name for the SMILES CCCCC1=NC2=CC=C(NC(=O)C3=CC=CC=C3SCC(=O)NC(C)C)C=C2N1.,smiles_2_iupac,train
OCC1=CC2=C(C=N1)OC=CO2,"[1,4]dioxino[2,3-c]pyridin-7-ylmethanol",Provide the correct IUPAC name for the following SMILES OCC1=CC2=C(C=N1)OC=CO2.,smiles_2_iupac,train
CCCCCCN1C(=O)C(C2=CC=CC=C2)OC2=CC=C([N+](=O)[O-])N=C21,"4-hexyl-6-nitro-2-phenylpyrido[3,2-b][1,4]oxazin-3-one",How would you convert the SMILES CCCCCCN1C(=O)C(C2=CC=CC=C2)OC2=CC=C([N+](=O)[O-])N=C21 to its IUPAC name?,smiles_2_iupac,train
CCC(C(=O)NCCOC1=CC=C(S(=O)(=O)N2CCCCC2)C=C1)N(C1=CC(Cl)=CC=C1Cl)S(C)(=O)=O,"(2S)-2-(2,5-dichloro-N-methylsulfonylanilino)-N-[2-(4-piperidin-1-ylsulfonylphenoxy)ethyl]butanamide","Given the SMILES CCC(C(=O)NCCOC1=CC=C(S(=O)(=O)N2CCCCC2)C=C1)N(C1=CC(Cl)=CC=C1Cl)S(C)(=O)=O, provide the corresponding IUPAC name.",smiles_2_iupac,train
O=P1(C2=CC=CC=C2)NC2=CC=CC=C2N1C1CCCCC1,"3-cyclohexyl-2-phenyl-1H-1,3,2lambda5-benzodiazaphosphole 2-oxide",Convert the SMILES O=P1(C2=CC=CC=C2)NC2=CC=CC=C2N1C1CCCCC1 to its IUPAC name.,smiles_2_iupac,train
CC(C)(C)SCC(=O)NC1=CC=CC=C1C(=O)NC1CC1,2-[(2-tert-butylsulfanylacetyl)amino]-N-cyclopropylbenzamide,What is the IUPAC name for the molecule represented by CC(C)(C)SCC(=O)NC1=CC=CC=C1C(=O)NC1CC1?,smiles_2_iupac,train
CCNC(=NCC1=CC=C(C)C=C1OCC(F)(F)F)NCCCF,"1-ethyl-3-(3-fluoropropyl)-2-[[4-methyl-2-(2,2,2-trifluoroethoxy)phenyl]methyl]guanidine",How would you convert the SMILES CCNC(=NCC1=CC=C(C)C=C1OCC(F)(F)F)NCCCF to its IUPAC name?,smiles_2_iupac,train
CCS(=O)(=O)CCCN1CC(O)C(O)C1,"1-(3-ethylsulfonylpropyl)pyrrolidine-3,4-diol","Given the SMILES CCS(=O)(=O)CCCN1CC(O)C(O)C1, provide the corresponding IUPAC name.",smiles_2_iupac,train
CN1C=CC=C1CNC(=O)CCOC1CCNCC1,N-[(1-methylpyrrol-2-yl)methyl]-3-piperidin-4-yloxypropanamide,Provide the correct IUPAC name for the following SMILES CN1C=CC=C1CNC(=O)CCOC1CCNCC1.,smiles_2_iupac,train
CC=C(O)C(O)C(N)=O,"(E)-2,3-dihydroxypent-3-enamide",Provide the correct IUPAC name for the following SMILES CC=C(O)C(O)C(N)=O.,smiles_2_iupac,train
NCCCNC(=O)C1=C(F)C=CC=C1Cl,N-(3-aminopropyl)-2-chloro-6-fluorobenzamide,Translate the following SMILES NCCCNC(=O)C1=C(F)C=CC=C1Cl into its IUPAC name equivalent.,smiles_2_iupac,train
N#CC1=CC=C(C=CC(=O)OCC(=O)NCC2=CC=CC(Cl)=C2)C=C1,[2-[(3-chlorophenyl)methylamino]-2-oxoethyl] (E)-3-(4-cyanophenyl)prop-2-enoate,"Given the SMILES N#CC1=CC=C(C=CC(=O)OCC(=O)NCC2=CC=CC(Cl)=C2)C=C1, provide the corresponding IUPAC name.",smiles_2_iupac,train
CCOC(=O)C1CCCN(C2=NC3=CC=C(F)C=C3N2)C1,ethyl 1-(6-fluoro-1H-benzimidazol-2-yl)piperidine-3-carboxylate,What is the IUPAC name for the molecule represented by CCOC(=O)C1CCCN(C2=NC3=CC=C(F)C=C3N2)C1?,smiles_2_iupac,train
CSC1=NC2=C(F)C(Br)=C(C)C=C2C(NC2CCN(C(=O)OC(C)(C)C)C2)=C1C=O,tert-butyl 3-[(7-bromo-8-fluoro-3-formyl-6-methyl-2-methylsulfanylquinolin-4-yl)amino]pyrrolidine-1-carboxylate,Provide the correct IUPAC name for the following SMILES CSC1=NC2=C(F)C(Br)=C(C)C=C2C(NC2CCN(C(=O)OC(C)(C)C)C2)=C1C=O.,smiles_2_iupac,train
CCC(=O)C1=CC=C(NCC(C)N(C)C)C=C1,1-[4-[2-(dimethylamino)propylamino]phenyl]propan-1-one,"Given the SMILES CCC(=O)C1=CC=C(NCC(C)N(C)C)C=C1, provide the corresponding IUPAC name.",smiles_2_iupac,train
COC(=O)C1(CN(C)C2=CC=CC=C2OC)COC1,methyl 3-[(2-methoxy-N-methylanilino)methyl]oxetane-3-carboxylate,How would you convert the SMILES COC(=O)C1(CN(C)C2=CC=CC=C2OC)COC1 to its IUPAC name?,smiles_2_iupac,train
CN1N=CC=C1C(=O)N(C1=CC=C(F)C=C1)C1=CC=C(C2CNCCO2)C=C1,N-(4-fluorophenyl)-2-methyl-N-[4-[(2S)-morpholin-2-yl]phenyl]pyrazole-3-carboxamide,How would you convert the SMILES CN1N=CC=C1C(=O)N(C1=CC=C(F)C=C1)C1=CC=C(C2CNCCO2)C=C1 to its IUPAC name?,smiles_2_iupac,train
CCOC(CN)CCN1CCC(N(C)C)C1,"1-(4-amino-3-ethoxybutyl)-N,N-dimethylpyrrolidin-3-amine",How would you convert the SMILES CCOC(CN)CCN1CCC(N(C)C)C1 to its IUPAC name?,smiles_2_iupac,train
CC1=CC=C(S(=O)(=O)CCCCC2=CC=C(CC(=O)O)C=C2)C=C1,2-[4-[4-(4-methylphenyl)sulfonylbutyl]phenyl]acetic acid,"For the given SMILES CC1=CC=C(S(=O)(=O)CCCCC2=CC=C(CC(=O)O)C=C2)C=C1, generate the correct IUPAC name.",smiles_2_iupac,train
CC1=CC(OCC2=CC=C(C#N)C=C2Cl)=C(C)C=C1N,"4-[(4-amino-2,5-dimethylphenoxy)methyl]-3-chlorobenzonitrile",How would you convert the SMILES CC1=CC(OCC2=CC=C(C#N)C=C2Cl)=C(C)C=C1N to its IUPAC name?,smiles_2_iupac,train
CCCOC1=CC=C(NC(=O)NC(C2=CC=CC=C2)C2=NNC(C)=N2)C=C1OCCC,"1-(3,4-dipropoxyphenyl)-3-[(5-methyl-1H-1,2,4-triazol-3-yl)-phenylmethyl]urea","Using the given SMILES CCCOC1=CC=C(NC(=O)NC(C2=CC=CC=C2)C2=NNC(C)=N2)C=C1OCCC, predict the correct IUPAC name.",smiles_2_iupac,train
CN1C=C(C2=CC=C3C=NC(CC(=O)C4CCN(C5CCC5)C4)=CC3=C2)C=N1,1-(1-cyclobutylpyrrolidin-3-yl)-2-[6-(1-methylpyrazol-4-yl)isoquinolin-3-yl]ethanone,What is the IUPAC name for the molecule represented by CN1C=C(C2=CC=C3C=NC(CC(=O)C4CCN(C5CCC5)C4)=CC3=C2)C=N1?,smiles_2_iupac,train
CC1=CC=C(S(=O)(=O)N(C)C)C=C1NC(=O)C(C)OC(=O)C1=CC=C(Cl)C=C1Cl,"[(2R)-1-[5-(dimethylsulfamoyl)-2-methylanilino]-1-oxopropan-2-yl] 2,4-dichlorobenzoate","Using the given SMILES CC1=CC=C(S(=O)(=O)N(C)C)C=C1NC(=O)C(C)OC(=O)C1=CC=C(Cl)C=C1Cl, predict the correct IUPAC name.",smiles_2_iupac,train
CC(OC1=CC=CC=C1)C(=O)NC1=CC=C(Cl)C(C(N)=O)=C1,2-chloro-5-[[(2R)-2-phenoxypropanoyl]amino]benzamide,What is the IUPAC name for the molecule represented by CC(OC1=CC=CC=C1)C(=O)NC1=CC=C(Cl)C(C(N)=O)=C1?,smiles_2_iupac,train
CC1=CC=C(C(=O)NC2=CC(Cl)=C(O)C(Cl)=C2)C=C1Cl,"3-chloro-N-(3,5-dichloro-4-hydroxyphenyl)-4-methylbenzamide",Translate the following SMILES CC1=CC=C(C(=O)NC2=CC(Cl)=C(O)C(Cl)=C2)C=C1Cl into its IUPAC name equivalent.,smiles_2_iupac,train
